surname,country,iso3,notes
bury,Belarus,BLR,Aliaksandr Bury (Minsk)
donskoy,Russia,RUS,Evgeny Donskoy
elgin,Russia,RUS,Mikhail Elgin (St. Petersburg)
gerasimov,Belarus,BLR,Egor Gerasimov
ivashka,Belarus,BLR,Ilya Ivashka
karatsev,Russia,RUS,Aslan Karatsev
khachanov,Russia,RUS,Karen Khachanov
kotov,Russia,RUS,Pavel Kotov
medvedev,Russia,RUS,Daniil Medvedev
mirnyi,Belarus,BLR,Max Mirnyi
rublev,Russia,RUS,Andrey Rublev
safiullin,Russia,RUS,Roman Safiullin
vasilevski,Belarus,BLR,Andrei Vasilevski (Minsk)
