team_key,tourn_year,own_rank,own_iso3,own_iso3_grp,same_country,same_language,ling_prox,composition_nat,composition_lang,composition_ling
"(('m', 'melo', 'BRA'), ('ł', 'kubot', 'POL'))",Australian Open_2018,1.0,POL,POL,0,0,0,0.02097902097902098,0.02097902097902098,0.02097902097902098
"(('m', 'zverev', 'DEU'), ('p', 'lorenzi', 'ITA'))",Australian Open_2018,85.0,ITA,ITA,0,0,0,0.013986013986013986,0.013986013986013986,0.013986013986013986
"(('l', 'saville', 'AUS'), ('m', 'purcell', 'AUS'))",Australian Open_2018,203.0,AUS,AUS,1,1,1,0.11888111888111888,0.34965034965034963,0.34965034965034963
"(('a', 'rublev', 'RUS'), ('m', 'elgin', 'RUS'))",Australian Open_2018,90.0,RUS,RUS,1,1,1,0.006993006993006993,0.006993006993006993,0.006993006993006993
"(('f', 'fognini', 'ITA'), ('m', 'granollers', 'ESP'))",Australian Open_2018,97.0,ITA,ITA,0,0,0,0.013986013986013986,0.013986013986013986,0.013986013986013986
"(('a', 'bolt', 'AUS'), ('b', 'mousley', 'AUS'))",Australian Open_2018,81.0,AUS,AUS,1,1,1,0.11888111888111888,0.34965034965034963,0.34965034965034963
"(('d', 'sharan', 'IND'), ('r', 'ram', 'USA'))",Australian Open_2018,22.0,USA,USA,0,1,1,0.08391608391608392,0.34965034965034963,0.5174825174825175
"(('m', 'copil', 'ROU'), ('v', 'troicki', 'SRB'))",Australian Open_2018,847.0,ROU,ROU,0,0,0,0.013986013986013986,0.02097902097902098,0.02097902097902098
"(('f', 'lópez', 'ESP'), ('m', 'lópez', 'ESP'))",Australian Open_2018,24.0,ESP,ESP,1,1,1,0.055944055944055944,0.16083916083916083,0.2517482517482518
"(('f', 'mergea', 'ROU'), ('n', 'zimonjić', 'SRB'))",Australian Open_2018,57.0,ROU,ROU,0,0,0,0.013986013986013986,0.02097902097902098,0.02097902097902098
"(('b', 'mclachlan', 'JPN'), ('j-l', 'struff', 'DEU'))",Australian Open_2018,73.0,JPN,JPN,0,0,0,0.013986013986013986,0.013986013986013986,0.013986013986013986
"(('j', 'thompson', 'AUS'), ('t', 'kokkinakis', 'AUS'))",Australian Open_2018,435.0,AUS,AUS,1,1,1,0.11888111888111888,0.34965034965034963,0.34965034965034963
"(('g', 'lópez', 'ESP'), ('p', 'busta', 'ESP'))",Australian Open_2018,42.0,ESP,ESP,1,1,1,0.055944055944055944,0.16083916083916083,0.2517482517482518
"(('m', 'middelkoop', 'NLD'), ('r', 'haase', 'NLD'))",Australian Open_2018,64.0,NLD,NLD,1,1,1,0.02097902097902098,0.02097902097902098,0.02097902097902098
"(('d', 'marrero', 'ESP'), ('s', 'lipsky', 'USA'))",Australian Open_2018,77.0,USA,USA,0,0,1,0.08391608391608392,0.34965034965034963,0.5174825174825175
"(('m', 'venus', 'NZL'), ('r', 'klaasen', 'ZAF'))",Australian Open_2018,25.0,ZAF,ZAF,0,1,1,0.0,0.34965034965034963,0.34965034965034963
"(('n', 'mahut', 'FRA'), ('p-h', 'herbert', 'FRA'))",Australian Open_2018,11.0,FRA,FRA,1,1,1,0.04895104895104895,0.06993006993006994,0.08391608391608392
"(('j', 'millman', 'AUS'), ('m', 'ebden', 'AUS'))",Australian Open_2018,202.0,AUS,AUS,1,1,1,0.11888111888111888,0.34965034965034963,0.34965034965034963
"(('a', 'vasilevski', 'BLR'), ('h', 'podlipnik-castillo', 'CHL'))",Australian Open_2018,58.0,CHL,CHL,0,0,0,0.006993006993006993,0.16083916083916083,0.2517482517482518
