Rank,Player,Age,Points,Tournaments Played,Year Turned Pro,Weight (kg),Height (cm),City of Birthplace,Country of Birthplace,Hand,Backhand,Coach1,Coach2
1T,Wesley Koolhof,33,"7,440",24,2008,78kg,180cm,Zevenaar, Netherlands,Right-Handed,Two-Handed Backhand,Rob Morgan,Mariusz Fyrstenberg
1T,Neal Skupski,33,"7,440",24,2012,82kg,183cm,Liverpool, England,Right-Handed,Two-Handed Backhand,Ken Skupski,Louis Cayer
3,Rajeev Ram,38,"7,030",19,2004,84kg,193cm,Denver," CO, USA",Right-Handed,One-Handed Backhand,Bryan Smith,
4,Joe Salisbury,30,"6,940",17,2014,83kg,191cm,London, England,Right-Handed,One-Handed Backhand,Justin Sherring,David O'Hare
5T,Marcelo Arevalo,32,"5,750",24,2012,86kg,193cm,Sonsonate, El Salvador,Right-Handed,Two-Handed Backhand,Yari Bernardo,Carlos Teixeira
5T,Jean-Julien Rojer,41,"5,750",24,2003,84kg,185cm,Curacao,,Right-Handed,Two-Handed Backhand,Luis Fernando Manrique,
7,Mate Pavic,29,"5,530",26,2011,83kg,191cm,Split, Croatia,Left-Handed,Two-Handed Backhand,Nadja Pavic,
8,Nikola Mektic,34,"5,325",25,2008,79kg,183cm,Zagreb, Croatia,Right-Handed,Two-Handed Backhand,Goran Oresic,
9,Austin Krajicek,32,"4,220",30,2012,79kg,188cm,Tampa," FL, USA",Left-Handed,Two-Handed Backhand,Philip Farmer,
10,Harri Heliovaara,33,"4,205",28,2008,82kg,188cm,Helsinki, Finland,Right-Handed,Two-Handed Backhand,Boris Chernov,
