match_id,tournament,year,surface,stage_code,any_tb,any_std_tb,regular_tb,match_tb,match_tb_set,tb_s3_regular,tb_s4,tb_s5,three_sets,comeback,winner_lost_s1,pre_olympic,olympic_period,olympics_tourn,same_country,same_language,ling_prox,rank_mean,wl_career_diff,rank_gap,single_top100,win,won_tb_s1,won_tb_s2,won_tb_s3,won_tb_s4,won_tb_s5,exp_mean,age_mean,opp_rank_mean,lost_set1,tourn_year,won_regular_tb,won_any_tb,exp_mean_sq,exp_mean_dm,exp_mean_dm_sq,age_mean_dm,age_mean_dm_sq,ic_team,ic_team_dm
0,Australian Open,2018,Hard,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.005113704012382425,0.0,0,1,0,0,0,0,0,18.0,35.5,67.5,0,Australian Open_2018,0,0,324.0,6.068133047210301,36.822238678645775,3.904372317596568,15.244123194414396,49.0,-14.02172746781116
1,Australian Open,2018,Hard,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,166.5,0.2293972044263251,73.0,0,1,0,0,0,0,0,4.0,22.0,204.0,0,Australian Open_2018,0,0,16.0,-7.931866952789699,62.91451335675735,-9.595627682403432,92.07607061930706,90.0,26.97827253218884
2,Australian Open,2018,Hard,2,1,1,1,0,,0,0,0,1,1,1,0,0,0,0,0,0,55.5,0.1229791054917854,83.0,0,1,0,0,0,0,0,14.5,31.5,87.5,1,Australian Open_2018,0,0,210.25,2.568133047210301,6.595307348173666,-0.09562768240343189,0.009144653641851637,63.5,0.47827253218883925
3,Australian Open,2018,Hard,2,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,1,35.0,0.1044022455747792,26.0,0,1,1,0,0,0,0,14.0,33.0,472.5,0,Australian Open_2018,1,1,196.0,2.068133047210301,4.277174300963365,1.404372317596568,1.972261606431556,69.5,6.478272532188839
4,Australian Open,2018,Hard,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,22.0,0.09247104247104243,4.0,0,1,0,0,0,0,0,20.0,36.5,47.0,0,Australian Open_2018,0,0,400.0,8.068133047210301,65.09477086748697,4.904372317596568,24.052867829607532,51.0,-12.02172746781116
5,Australian Open,2018,Hard,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,115.0,0.02195281782437752,84.0,0,1,0,0,0,0,0,6.5,27.0,268.5,0,Australian Open_2018,0,0,42.25,-5.431866952789699,29.50517859280885,-4.595627682403432,21.119793795272738,56.5,-6.521727467811161
6,Australian Open,2018,Hard,2,0,0,0,0,,0,0,0,1,1,1,0,0,0,1,1,1,60.0,,36.0,1,1,0,0,0,0,0,12.5,27.0,50.0,1,Australian Open_2018,0,0,156.25,0.568133047210301,0.3227751593324621,-4.595627682403432,21.119793795272738,51.0,-12.02172746781116
7,Australian Open,2018,Hard,2,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,79.5,0.02777389976102296,5.0,0,1,1,1,0,0,0,16.0,37.5,20.0,0,Australian Open_2018,1,1,256.0,4.068133047210301,16.54970648980457,5.904372317596568,34.86161246480067,71.0,7.978272532188839
8,Australian Open,2018,Hard,2,1,1,1,0,,0,0,0,0,0,0,0,0,0,1,1,1,8.5,0.0790823211875844,5.0,0,1,1,0,0,0,0,13.0,31.5,198.0,0,Australian Open_2018,1,1,169.0,1.068133047210301,1.1409082065427631,-0.09562768240343189,0.009144653641851637,71.0,7.978272532188839
9,Australian Open,2018,Hard,2,1,1,0,0,,1,0,0,1,1,1,0,0,0,0,0,0,58.5,0.004561746497230401,1.0,0,1,0,0,1,0,0,11.0,28.5,493.5,1,Australian Open_2018,0,1,121.0,-0.931866952789699,0.8683760177015591,-3.095627682403432,9.582910748062442,31.0,-32.02172746781116
