match_id,role,tourn_key,year,surname,initial,rank_hint,n_candidates,reason
1509,winners_p1,olympics,2024,alcaraz,c,,0,"no ranking row for this (tourn_key, surname, initial, year)"
534,losers_p1,australian open,2020,andujar,p,,0,"no ranking row for this (tourn_key, surname, initial, year)"
335,losers_p1,roland garros,2019,bourgue,m,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1743,losers_p1,roland garros,2025,brooksby,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1837,losers_p1,wimbledon,2025,brooksby,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1501,winners_p1,olympics,2024,busta,p,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1555,losers_p1,roland garros,2024,busta,p,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1600,winners_p1,us open,2024,busta,p,,0,"no ranking row for this (tourn_key, surname, initial, year)"
578,losers_p1,roland garros,2020,cazaux,a,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1211,losers_p1,australian open,2023,coria,f,,0,"no ranking row for this (tourn_key, surname, initial, year)"
411,winners_p1,us open,2019,damm,m,,0,"no ranking row for this (tourn_key, surname, initial, year)"
417,losers_p1,us open,2019,djere,l,,0,"no ranking row for this (tourn_key, surname, initial, year)"
471,losers_p1,wimbledon,2019,djere,l,,0,"no ranking row for this (tourn_key, surname, initial, year)"
514,losers_p2,australian open,2020,djere,l,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1346,winners_p1,us open,2023,djere,l,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1385,losers_p1,wimbledon,2023,djere,l,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1824,losers_p2,wimbledon,2025,djere,l,,0,"no ranking row for this (tourn_key, surname, initial, year)"
643,losers_p1,us open,2020,escobedo,e,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1349,losers_p1,us open,2023,frusina,a,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1332,losers_p1,us open,2023,galan,d,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1392,losers_p2,wimbledon,2023,galan,d,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1349,losers_p2,us open,2023,ganesan,a,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1267,losers_p1,roland garros,2023,gasquet,r,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1691,losers_p1,australian open,2025,gojo,b,,0,"no ranking row for this (tourn_key, surname, initial, year)"
892,losers_p1,wimbledon,2021,gombos,n,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1084,losers_p1,us open,2022,gorzny,s,,0,"no ranking row for this (tourn_key, surname, initial, year)"
450,losers_p2,wimbledon,2019,jubb,p,,0,"no ranking row for this (tourn_key, surname, initial, year)"
694,losers_p2,australian open,2021,knowle,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
791,losers_p1,roland garros,2021,knowle,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
411,winners_p2,us open,2019,kodat,t,,0,"no ranking row for this (tourn_key, surname, initial, year)"
537,losers_p2,australian open,2020,lu,y,,0,"no ranking row for this (tourn_key, surname, initial, year)"
194,losers_p1,wimbledon,2018,mchugh,a,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1810,winners_p2,us open,2025,medjedovic,h,,0,"no ranking row for this (tourn_key, surname, initial, year)"
738,winners_p2,olympics,2021,monfils,g,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1515,winners_p1,olympics,2024,monfils,g,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1511,winners_p1,olympics,2024,monteiro,t,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1616,losers_p1,wimbledon,2024,monteiro,t,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1404,losers_p2,wimbledon,2023,moutet,c,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1507,losers_p2,olympics,2024,nishikori,k,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1692,losers_p1,australian open,2025,o'connell,c,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1458,losers_p2,australian open,2024,prashanth,v,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1700,losers_p2,australian open,2025,prashanth,v,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1505,losers_p2,olympics,2024,raonic,m,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1812,losers_p2,us open,2025,smith,c,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1206,losers_p2,australian open,2023,varillas,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1290,losers_p2,roland garros,2023,varillas,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1329,losers_p2,us open,2023,varillas,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
1390,losers_p2,wimbledon,2023,varillas,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
902,losers_p2,wimbledon,2021,ward,j,,0,"no ranking row for this (tourn_key, surname, initial, year)"
