iso3,hofstede_country,idv,proxy_tier,proxy_note
ARG,Argentina,46.0,,
AUS,Australia,90.0,,
AUT,Austria,55.0,,
BEL,Belgium,75.0,,
BGD,Bangladesh,20.0,,
BGR,Bulgaria,30.0,,
BIH,proxy:SRB,25.0,Tier 1,"Bosnia proxied by Serbia: South Slavic kin, shared Yugoslav history"
BLR,proxy:RUS,39.0,Tier 2,Belarus proxied by Russia: post-Soviet Slavic
BOL,proxy:PER,16.0,Tier 2,"Bolivia proxied by Peru: neighbouring Andean country, similar colonial history"
BRA,Brazil,38.0,,
CAN,Canada,80.0,,
CHE,Switzerland,68.0,,
CHL,Chile,23.0,,
CHN,China,20.0,,
COL,Colombia,13.0,,
CRI,Costa Rica,15.0,,
CYP,proxy:GRC,35.0,Tier 1,"Cyprus proxied by Greece: Greek-Cypriot majority, same language"
CZE,Czech Rep,58.0,,
DEU,Germany,67.0,,
DNK,Denmark,74.0,,
DOM,proxy:COL,13.0,Tier 2,Dominican Republic proxied by Colombia: Spanish-speaking Latin American/Caribbean
ECU,Ecuador,8.0,,
ESP,Spain,51.0,,
EST,Estonia,60.0,,
FIN,Finland,63.0,,
FRA,France,71.0,,
GBR,Great Britain,89.0,,
GEO,proxy:TUR,37.0,Tier 2,Georgia proxied by Turkey: closest geographically available; weaker proxy
GRC,Greece,35.0,,
GTM,Guatemala,6.0,,
HKG,Hong Kong,25.0,,
HRV,Croatia,33.0,,
HUN,Hungary,80.0,,
IDN,Indonesia,14.0,,
IND,India,48.0,,
IRL,Ireland,70.0,,
IRN,Iran,41.0,,
ISR,Israel,54.0,,
ITA,Italy,76.0,,
JAM,Jamaica,39.0,,
JPN,Japan,46.0,,
KAZ,proxy:RUS,39.0,Tier 2,Kazakhstan proxied by Russia: post-Soviet
KOR,Korea South,18.0,,
LBN,Arab countries (composite),38.0,Tier 2,Lebanon: Hofstede Arab-countries composite IDV=38 used directly
LTU,Lithuania,60.0,,
LUX,Luxembourg,60.0,,
LVA,Latvia,70.0,,
MAR,Morocco,46.0,,
MCO,proxy:FRA,71.0,Tier 1,"Monaco proxied by France: French official language, institutional integration"
MDA,proxy:ROU,30.0,Tier 1,"Moldova proxied by Romania: Romanian-speaking, shared Latin heritage"
MEX,Mexico,30.0,,
MLT,Malta,59.0,,
MYS,Malaysia,26.0,,
NLD,Netherlands,80.0,,
NOR,Norway,69.0,,
NZL,New Zealand,79.0,,
PAK,Pakistan,14.0,,
PAN,Panama,11.0,,
PER,Peru,16.0,,
PHL,Philippines,32.0,,
POL,Poland,60.0,,
PRT,Portugal,27.0,,
ROU,Romania,30.0,,
RUS,Russia,39.0,,
SGP,Singapore,20.0,,
SLV,El Salvador,19.0,,
SRB,Serbia,25.0,,
SUR,Suriname,47.0,,
SVK,Slovak Rep,52.0,,
SVN,Slovenia,27.0,,
SWE,Sweden,71.0,,
THA,Thailand,20.0,,
TTO,Trinidad and Tobago,16.0,,
TUN,proxy:MAR,46.0,Tier 2,Tunisia proxied by Morocco: North African Arabic-speaking neighbour
TUR,Turkey,37.0,,
TWN,Taiwan,17.0,,
UKR,proxy:RUS,39.0,Tier 2,Ukraine proxied by Russia: post-Soviet Slavic
URY,Uruguay,36.0,,
USA,U.S.A.,91.0,,
UZB,proxy:RUS,39.0,Tier 2,Uzbekistan proxied by Russia: post-Soviet
VEN,Venezuela,12.0,,
VNM,Vietnam,20.0,,
ZAF,South Africa white,65.0,,
