iso3_a,iso3_b,prox1
ARG,ARG,1.0
ARG,AUS,0.25
ARG,AUT,0.25
ARG,BEL,0.0
ARG,BIH,0.25
ARG,BLR,0.25
ARG,BOL,0.5400000214576721
ARG,BRA,0.75
ARG,CAN,0.32499998807907104
ARG,CHE,0.3149999976158142
ARG,CHL,1.0
ARG,CHN,0.0
ARG,COL,1.0
ARG,CYP,0.19750000536441803
ARG,CZE,0.25
ARG,DEU,0.25
ARG,DNK,0.25
ARG,DOM,1.0
ARG,ECU,1.0
ARG,ESP,1.0
ARG,FIN,0.0
ARG,FRA,0.5
ARG,GBR,0.25
ARG,GEO,0.0
ARG,GRC,0.25
ARG,HRV,0.25
ARG,HUN,0.0
ARG,IDN,0.0
ARG,IND,0.0
ARG,ISR,0.032499998807907104
ARG,ITA,0.5
ARG,JAM,0.25
ARG,JPN,0.0
ARG,KAZ,0.10249999910593033
ARG,KOR,0.0
ARG,LBN,0.0
ARG,LTU,0.25
ARG,MAR,0.0
ARG,MCO,0.5
ARG,MDA,0.5
ARG,MEX,1.0
ARG,NLD,0.25
ARG,NOR,0.25
ARG,NZL,0.25
ARG,PAK,0.25
ARG,PER,1.0
ARG,PHL,0.0
ARG,POL,0.25
ARG,PRT,0.75
ARG,ROU,0.5
ARG,RUS,0.25
ARG,SLV,1.0
ARG,SRB,0.25
ARG,SVK,0.25
ARG,SVN,0.25
ARG,SWE,0.25
ARG,THA,0.0
ARG,TUN,0.0
ARG,TWN,0.0
ARG,UKR,0.25
ARG,URY,1.0
ARG,USA,0.36250001192092896
ARG,UZB,0.03999999910593033
ARG,VEN,1.0
ARG,ZAF,0.0
AUS,AUS,1.0
AUS,AUT,0.5
AUS,BEL,0.0
AUS,BIH,0.25
AUS,BLR,0.25
AUS,BOL,0.13500000536441803
AUS,BRA,0.25
AUS,CAN,0.7749999761581421
AUS,CHE,0.4350000023841858
AUS,CHL,0.25
AUS,CHN,0.0
AUS,COL,0.25
AUS,CYP,0.19750000536441803
AUS,CZE,0.25
AUS,DEU,0.5
AUS,DNK,0.5
AUS,DOM,0.25
AUS,ECU,0.25
AUS,ESP,0.25
AUS,FIN,0.0
AUS,FRA,0.25
AUS,GBR,1.0
AUS,GEO,0.0
AUS,GRC,0.25
AUS,HRV,0.25
AUS,HUN,0.0
AUS,IDN,0.0
AUS,IND,0.0
AUS,ISR,0.032499998807907104
AUS,ITA,0.25
AUS,JAM,1.0
AUS,JPN,0.0
AUS,KAZ,0.10249999910593033
AUS,KOR,0.0
AUS,LBN,0.0
AUS,LTU,0.25
AUS,MAR,0.0
AUS,MCO,0.25
AUS,MDA,0.25
AUS,MEX,0.25
AUS,NLD,0.5
AUS,NOR,0.5
AUS,NZL,1.0
AUS,PAK,0.5
AUS,PER,0.25
AUS,PHL,0.0
AUS,POL,0.25
AUS,PRT,0.25
AUS,ROU,0.25
AUS,RUS,0.25
AUS,SLV,0.25
AUS,SRB,0.25
AUS,SVK,0.25
AUS,SVN,0.25
AUS,SWE,0.5
AUS,THA,0.0
AUS,TUN,0.0
AUS,TWN,0.0
AUS,UKR,0.25
AUS,URY,0.25
AUS,USA,0.8875000476837158
AUS,UZB,0.03999999910593033
AUS,VEN,0.25
AUS,ZAF,0.0
AUT,AUT,1.0
AUT,BEL,0.0
AUT,BIH,0.25
AUT,BLR,0.25
AUT,BOL,0.13500000536441803
AUT,BRA,0.25
AUT,CAN,0.42500001192092896
AUT,CHE,0.8050000071525574
AUT,CHL,0.25
AUT,CHN,0.0
AUT,COL,0.25
AUT,CYP,0.19750000536441803
AUT,CZE,0.25
AUT,DEU,1.0
AUT,DNK,0.5
AUT,DOM,0.25
AUT,ECU,0.25
AUT,ESP,0.25
AUT,FIN,0.0
AUT,FRA,0.25
AUT,GBR,0.5
AUT,GEO,0.0
AUT,GRC,0.25
AUT,HRV,0.25
AUT,HUN,0.0
AUT,IDN,0.0
AUT,IND,0.0
AUT,ISR,0.032499998807907104
AUT,ITA,0.25
AUT,JAM,0.5
AUT,JPN,0.0
AUT,KAZ,0.10249999910593033
AUT,KOR,0.0
AUT,LBN,0.0
AUT,LTU,0.25
AUT,MAR,0.0
AUT,MCO,0.25
AUT,MDA,0.25
AUT,MEX,0.25
AUT,NLD,0.75
AUT,NOR,0.5
AUT,NZL,0.5
AUT,PAK,0.25
AUT,PER,0.25
AUT,PHL,0.0
AUT,POL,0.25
AUT,PRT,0.25
AUT,ROU,0.25
AUT,RUS,0.25
AUT,SLV,0.25
AUT,SRB,0.25
AUT,SVK,0.25
AUT,SVN,0.25
AUT,SWE,0.5
AUT,THA,0.0
AUT,TUN,0.0
AUT,TWN,0.0
AUT,UKR,0.25
AUT,URY,0.25
AUT,USA,0.4625000059604645
AUT,UZB,0.03999999910593033
AUT,VEN,0.25
AUT,ZAF,0.0
BEL,BEL,1.0
BEL,BIH,0.0
BEL,BLR,0.0
BEL,BOL,0.0
BEL,BRA,0.0
BEL,CAN,0.0
BEL,CHE,0.0
BEL,CHL,0.0
BEL,CHN,0.0
BEL,COL,0.0
BEL,CYP,0.0
BEL,CZE,0.0
BEL,DEU,0.0
BEL,DNK,0.0
BEL,DOM,0.0
BEL,ECU,0.0
BEL,ESP,0.0
BEL,FIN,0.0
BEL,FRA,0.0
BEL,GBR,0.0
BEL,GEO,0.0
BEL,GRC,0.0
BEL,HRV,0.0
BEL,HUN,0.0
BEL,IDN,0.0
BEL,IND,0.0
BEL,ISR,0.0
BEL,ITA,0.0
BEL,JAM,0.0
BEL,JPN,0.0
BEL,KAZ,0.0
BEL,KOR,0.0
BEL,LBN,0.0
BEL,LTU,0.0
BEL,MAR,0.0
BEL,MCO,1.0
BEL,MDA,0.0
BEL,MEX,0.0
BEL,NLD,0.0
BEL,NOR,0.0
BEL,NZL,0.0
BEL,PAK,0.0
BEL,PER,0.0
BEL,PHL,0.0
BEL,POL,0.0
BEL,PRT,0.0
BEL,ROU,0.0
BEL,RUS,0.0
BEL,SLV,0.0
BEL,SRB,0.0
BEL,SVK,0.0
BEL,SVN,0.0
BEL,SWE,0.0
BEL,THA,0.0
BEL,TUN,0.0
BEL,TWN,0.0
BEL,UKR,0.0
BEL,URY,0.0
BEL,USA,0.0
BEL,UZB,0.0
BEL,VEN,0.0
BEL,ZAF,0.0
BIH,BIH,1.0
BIH,BLR,0.5
BIH,BOL,0.13500000536441803
BIH,BRA,0.25
BIH,CAN,0.25
BIH,CHE,0.25
BIH,CHL,0.25
BIH,CHN,0.0
BIH,COL,0.25
BIH,CYP,0.19750000536441803
BIH,CZE,0.5
BIH,DEU,0.25
BIH,DNK,0.25
BIH,DOM,0.25
BIH,ECU,0.25
BIH,ESP,0.25
BIH,FIN,0.0
BIH,FRA,0.25
BIH,GBR,0.25
BIH,GEO,0.0
BIH,GRC,0.25
BIH,HRV,0.75
BIH,HUN,0.0
BIH,IDN,0.0
BIH,IND,0.0
BIH,ISR,0.06499999761581421
BIH,ITA,0.25
BIH,JAM,0.25
BIH,JPN,0.0
BIH,KAZ,0.20499999821186066
BIH,KOR,0.0
BIH,LBN,0.0
BIH,LTU,0.25
BIH,MAR,0.0
BIH,MCO,0.25
BIH,MDA,0.25
BIH,MEX,0.25
BIH,NLD,0.25
BIH,NOR,0.25
BIH,NZL,0.25
BIH,PAK,0.25
BIH,PER,0.25
BIH,PHL,0.0
BIH,POL,0.5
BIH,PRT,0.25
BIH,ROU,0.25
BIH,RUS,0.5
BIH,SLV,0.25
BIH,SRB,0.8575000166893005
BIH,SVK,0.5
BIH,SVN,0.5
BIH,SWE,0.25
BIH,THA,0.0
BIH,TUN,0.0
BIH,TWN,0.0
