countrycode_1,countrycode_2,lingdist_tree_weighted,lingprox_CogNet_weighted,lingprox_GLED_weighted,common_official
ABW,ABW,.64805382,.42494076,.39111501,1
ABW,AFG,.90691608,.017322723,.083759122,0
ABW,AGO,.84297127,.20464285,.18625933,0
ABW,AIA,.91647816,.016933409,.015740385,1
ABW,ALA,.865596,.19189054,.3252461,0
ABW,ALB,.87833714,.0081648761,.12541623,0
ABW,AND,.67868108,.42295671,.39726192,0
ABW,ARE,.87374246,.15212682,.14872542,1
ABW,ARG,.61841697,.46779147,.43022496,0
ABW,ARM,.87781411,.068203978,.15222658,0
ABW,ASM,.82954925,.22205651,.20409381,1
ABW,ATG,.88341987,.071395315,.066365242,1
ABW,AUS,.70969462,.36729303,.34482381,1
ABW,AUT,.75926882,.20413196,.19949679,0
ABW,AZE,.96460545,.03976566,.057711847,0
ABW,BDI,.98008275,.03034177,.027190454,0
ABW,BEL,.75998747,.29705623,.32418463,1
ABW,BEN,.93008816,.090244971,.08044561,0
ABW,BES,.73475105,.29098684,.26984614,1
ABW,BFA,.95070839,.075202271,.067364603,0
ABW,BGD,.8768487,.092331395,.16096023,0
ABW,BGR,.85505992,.15913677,.19710255,0
ABW,BHR,.97500861,.018667636,.025102755,1
ABW,BHS,.90054405,.043203212,.037783485,1
ABW,BIH,.72161132,.021838499,.10744481,0
ABW,BLM,.77165616,.32638058,.29232675,0
ABW,BLR,.86952877,.14158981,.19741525,0
ABW,BLZ,.71143103,.3382324,.31185013,1
ABW,BMU,.66475445,.43203491,.40129644,1
ABW,BOL,.67694181,.39527062,.36199847,0
ABW,BRA,.67391133,.42059341,.3835955,0
ABW,BRB,.88990492,.0608279,.056542341,1
ABW,BRN,.90448827,.12433444,.11428385,1
ABW,BTN,.98975486,.0028054442,.0038267286,1
ABW,BWA,.90234989,.15152927,.11697216,1
ABW,CAF,.90672761,.054881368,.049143407,0
ABW,CAN,.73130542,.34824851,.32785121,1
ABW,CCK,.83364791,.1081429,.10052382,1
ABW,CHE,.75364345,.26115954,.34031925,0
ABW,CHL,.61277533,.47606438,.43664959,0
ABW,CHN,.99035829,.014636857,.010803166,0
ABW,CIV,.92902356,.089712366,.080227882,0
ABW,CMR,.85728467,.17030942,.155424,1
ABW,COD,.92531979,.10112013,.089704655,0
ABW,COG,.86453474,.1668047,.1493015,0
ABW,COK,.83905381,.20731978,.19271331,1
ABW,COL,.60562313,.48441803,.44399348,0
ABW,COM,.94690627,.081026047,.072588809,0
ABW,CPV,.79615808,.18390726,.16739294,0
ABW,CRI,.60900033,.48001981,.44004372,0
ABW,CUB,.60141748,.48885682,.44781911,0
ABW,CUW,.67871976,.36395484,.3355127,1
ABW,CXR,.81749439,.19728467,.18177468,1
ABW,CYM,.67311209,.42216235,.39019886,1
ABW,CYP,.81716764,.20734808,.23479785,0
ABW,CZE,.85443449,.16336988,.19593155,0
ABW,DEU,.77611482,.28002977,.31025723,0
ABW,DJI,.91817057,.12811057,.11188574,0
ABW,DMA,.77214628,.23486836,.21480903,1
ABW,DNK,.7861076,.29294479,.34070316,0
ABW,DOM,.6189115,.46451464,.42259112,0
ABW,DZA,.95460248,.073863022,.060395814,0
ABW,ECU,.63246,.45080599,.41343307,0
ABW,EGY,.94720131,.076382123,.063759379,0
ABW,ERI,1,.0064434167,0,1
ABW,ESH,.94637609,.084864356,.07145261,0
ABW,ESP,.64556223,.43286255,.39587817,0
